ELF code,Country ELF,Country,Jurisdiction,Entity legal form local name,Language,Entity legal form transliterated name,Abbreviation,Source
CDOV,Antigua and Barbuda,Antigua and Barbuda,,International Business Corporation,English,International Business Corporation,International Business Corporation,ELF v1.5
5AWN,Argentina,Argentina,,Sociedad del Estado,Spanish,Sociedad del Estado,S.E,ELF v1.5
6M8Y,Argentina,Argentina,,Sociedad Colectiva,Spanish,Sociedad Colectiva,Soc.Col.,ELF v1.5
D3E0,Argentina,Argentina,,Sociedad de Capital e Industria,Spanish,Sociedad de Capital e Industria,S.C.e I.,ELF v1.5
F0A6,Argentina,Argentina,,Sociedad Anonima,Spanish,Sociedad Anonima,S.A.,ELF v1.5
FE8K,Argentina,Argentina,,Sociedad Por Acciones Simplificada,Spanish,Sociedad Por Acciones Simplificada,S.A.S,ELF v1.5
H70T,Argentina,Argentina,,Sociedad en Comandita Simple,Spanish,Sociedad en Comandita Simple,S.C.S.,ELF v1.5
HZ6C,Argentina,Argentina,,Sociedad Cooperativa,Spanish,Sociedad Cooperativa,S. Coop.,ELF v1.5
L4QF,Argentina,Argentina,,Organismo Publico,Spanish,Organismo Publico,Organismo Publico,ELF v1.5
LVJZ,Argentina,Argentina,,Fundacion,Spanish,Fundacion,Fundacion,ELF v1.5
O7AL,Argentina,Argentina,,Sociedad de Garantía Reciproca,Spanish,Sociedad de Garantía Reciproca,SGR,ELF v1.5
PLZ6,Argentina,Argentina,,Sociedad en Comandita por Acciones,Spanish,Sociedad en Comandita por Acciones,S.C.p.A.,ELF v1.5
RDD3,Argentina,Argentina,,Asociacion civil,Spanish,Asociacion civil,Asociacion civil,ELF v1.5
U82F,Argentina,Argentina,,Sociedad De Responsalided Limitada,Spanish,Sociedad De Responsalided Limitada,S.R.L,ELF v1.5
WUAZ,Argentina,Argentina,,Sociedad Anonima Unipersonal,Spanish,Sociedad Anonima Unipersonal,S.A.U.,ELF v1.5
CRL9,Aruba,Netherlands,,Stichting,Dutch,Stichting,Stichting,ELF v1.5
CYW2,Aruba,Netherlands,,Vennootschap onder firma,Dutch,Vennootschap onder firma,VOF,ELF v1.5
CYW2,Aruba,Netherlands,,Vennootschap onder firma,Dutch,Vennootschap onder firma,vof,ELF v1.5
CYW2,Aruba,Netherlands,,Vennootschap onder firma,Dutch,Vennootschap onder firma,V.O.F.,ELF v1.5
CYW2,Aruba,Netherlands,,Vennootschap onder firma,Dutch,Vennootschap onder firma,v.o.f.,ELF v1.5
GAJN,Aruba,Netherlands,,Commanditaire vennootschap (1),Dutch,Commanditaire vennootschap (1),Commanditaire vennootschap (1),ELF v1.5
M27U,Aruba,Netherlands,,Besloten vennootschap,Dutch,Besloten vennootschap,BV,ELF v1.5
M27U,Aruba,Netherlands,,Besloten vennootschap,Dutch,Besloten vennootschap,bv,ELF v1.5
M27U,Aruba,Netherlands,,Besloten vennootschap,Dutch,Besloten vennootschap,B.V.,ELF v1.5
M27U,Aruba,Netherlands,,Besloten vennootschap,Dutch,Besloten vennootschap,b.v.,ELF v1.5
OLAI,Aruba,Netherlands,,Vereniging,Dutch,Vereniging,Vereniging,ELF v1.5
P65N,Aruba,Netherlands,,Naamloze vennootschap,Dutch,Naamloze vennootschap,NV,ELF v1.5
P65N,Aruba,Netherlands,,Naamloze vennootschap,Dutch,Naamloze vennootschap,nv,ELF v1.5
P65N,Aruba,Netherlands,,Naamloze vennootschap,Dutch,Naamloze vennootschap,N.V.,ELF v1.5
P65N,Aruba,Netherlands,,Naamloze vennootschap,Dutch,Naamloze vennootschap,n.v.,ELF v1.5
PCRJ,Aruba,Netherlands,,Cooperatieve vereniging,Dutch,Cooperatieve vereniging,Cooperatieve vereniging,ELF v1.5
PT6C,Aruba,Netherlands,,Eenmanszaak,Dutch,Eenmanszaak,Eenmanszaak,ELF v1.5
REUP,Aruba,Netherlands,,Aruba vrijgestelde vennootschap,Dutch,Aruba vrijgestelde vennootschap,AVV,ELF v1.5
REUP,Aruba,Netherlands,,Aruba vrijgestelde vennootschap,Dutch,Aruba vrijgestelde vennootschap,avv,ELF v1.5
REUP,Aruba,Netherlands,,Aruba vrijgestelde vennootschap,Dutch,Aruba vrijgestelde vennootschap,A.V.V.,ELF v1.5
REUP,Aruba,Netherlands,,Aruba vrijgestelde vennootschap,Dutch,Aruba vrijgestelde vennootschap,a.v.v.,ELF v1.5
UV8T,Aruba,Netherlands,,Maatschap,Dutch,Maatschap,Maatschap,ELF v1.5
V905,Aruba,Netherlands,,Vennootschap met beperkte aansprakelijkheid,Dutch,Vennootschap met beperkte aansprakelijkheid,VBA,ELF v1.5
V905,Aruba,Netherlands,,Vennootschap met beperkte aansprakelijkheid,Dutch,Vennootschap met beperkte aansprakelijkheid,vba,ELF v1.5
V905,Aruba,Netherlands,,Vennootschap met beperkte aansprakelijkheid,Dutch,Vennootschap met beperkte aansprakelijkheid,V.B.A.,ELF v1.5
V905,Aruba,Netherlands,,Vennootschap met beperkte aansprakelijkheid,Dutch,Vennootschap met beperkte aansprakelijkheid,v.b.a.,ELF v1.5
YCV2,Aruba,Netherlands,,Commanditaire vennootschap (1+),Dutch,Commanditaire vennootschap (1+),Commanditaire vennootschap (1+),ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Co-operative Limited,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Cooperative Limited,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Co-op Limited,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Coop Limited,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Co-operative Ltd.,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Cooperative Ltd.,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Co-opLtd.,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Coop Ltd.,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Co-operative,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Cooperative,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Co-op,ELF v1.5
6W6X,Australia,Australia,,Co-operative,English,Co-operative,Coop,ELF v1.5
7TPC,Australia,Australia,,Trust,English,Trust,Trust,ELF v1.5
ADXG,Australia,Australia,,Fund,English,Fund,Fund,ELF v1.5
BC38,Australia,Australia,,Incorporated association,English,Incorporated association,Inc,ELF v1.5
BC38,Australia,Australia,,Incorporated association,English,Incorporated association,inc,ELF v1.5
BC38,Australia,Australia,,Incorporated association,English,Incorporated association,Inc.,ELF v1.5
BC38,Australia,Australia,,Incorporated association,English,Incorporated association,inc.,ELF v1.5
J4JC,Australia,Australia,,Limited Partnership,English,Limited Partnership,A Limited Partnership,ELF v1.5
J4JC,Australia,Australia,,Limited Partnership,English,Limited Partnership,An Incorporated Limited Partnership,ELF v1.5
J4JC,Australia,Australia,,Limited Partnership,English,Limited Partnership,LP,ELF v1.5
J4JC,Australia,Australia,,Limited Partnership,English,Limited Partnership,LP.,ELF v1.5
J4JC,Australia,Australia,,Limited Partnership,English,Limited Partnership,Lp.,ELF v1.5
J4JC,Australia,Australia,,Limited Partnership,English,Limited Partnership,Lp,ELF v1.5
J4JC,Australia,Australia,,Limited Partnership,English,Limited Partnership,I.L.P,ELF v1.5
J4JC,Australia,Australia,,Limited Partnership,English,Limited Partnership,ILP,ELF v1.5
LZFR,Australia,Australia,,Public Company limited by guarantee,English,Public Company limited by guarantee,Ltd,ELF v1.5
