ELF code,Country ELF,Country,Country Global,Jurisdiction,Entity legal form local name,Language,Entity legal form transliterated name,Abbreviation,Source
,,Global,Global,,,,,Group,Gereltuya manual check 20240807
,,Global,Global,,,,,Plc,Gereltuya manual check 20240807
,,Global,Global,,,,,Plc.,Gereltuya manual check 20240807
,,Global,Global,,,,,SA,Gereltuya manual check 20240807
,,Global,Global,,,,,SPA,Gereltuya manual check 20240807
,,Global,Global,,,,,Ltd,Gereltuya manual check 20240807
,,Global,Global,,,,,SB,Gereltuya manual check 20240807
,,Global,Global,,,,,NV,Gereltuya manual check 20240807
,,Global,Global,,,,,& Co.,Gereltuya manual check 20240807
,,Global,Global,,,,,Impresa Sociale,Gereltuya manual check 20240807
,,Global,Global,,,,,Bcorp,Gereltuya manual check 20240807
,,Global,Global,,,,,& C.,Gereltuya manual check 20240807
,,Global,Global,,,,,S.p.A,Gereltuya manual check 20240807
,,Global,Global,,,,,Società Benefit,Gereltuya manual check 20240807
,,Global,Global,,,,,Soc. Benefit,Gereltuya manual check 20240807
,,Global,Global,,,,,Gruppo,Gereltuya manual check 20240807
,,Global,Global,,,,,N.V.,Gereltuya manual check 20240807
,,Global,Global,,,,,Holding,Gereltuya manual check 20240807
,,Global,Global,,,,,Srl,Gereltuya manual check 20240807
,,Global,Global,,,,,Impresa Sociale SRL,Gereltuya manual check 20240807
,,Global,Global,,,,,S.p.A.,Gereltuya manual check 20240807
,,Global,Global,,,,,s.r.l.,Gereltuya manual check 20240807
,,Global,Global,,,,,Limited,Gereltuya manual check 20240807
,,Global,Global,,,,,AB,Gereltuya manual check 20240807
,,Global,Global,,,,,AB (publ),Gereltuya manual check 20240807
,,Global,Global,,,,,(publ),Gereltuya manual check 20240807
,,Global,Global,,,,,AG,Gereltuya manual check 20240807
,,Global,Global,,,,,LLC,Gereltuya manual check 20240807
,,Global,Global,,,,,Pvt,Gereltuya manual check 20240807
,,Global,Global,,,,,Pvt Ltd,Gereltuya manual check 20240807
,,Global,Global,,,,,Ltd.,Gereltuya manual check 20240807
,,Global,Global,,,,,SAB de CV,Gereltuya manual check 20240807
,,Global,Global,,,,,S.A.B. de C.V.,Gereltuya manual check 20240807
,,Global,Global,,,,,S.A.B de C.V.,Gereltuya manual check 20240807
,,Global,Global,,,,,ApS,Gereltuya manual check 20240807
,,Global,Global,,,,,S.A.S,Gereltuya manual check 20240807
,,Global,Global,,,,,Holding AB,Gereltuya manual check 20240807
,,Global,Global,,,,,Group AB,Gereltuya manual check 20240807
,,Global,Global,,,,,Fastighets AB,Gereltuya manual check 20240807
,,Global,Global,,,,,& Co,Gereltuya manual check 20240807
,,Global,Global,,,,,& Co AB,Gereltuya manual check 20240807
,,Global,Global,,,,,Corporation,Gereltuya manual check 20240807
,,Global,Global,,,,,Corp,Gereltuya manual check 20240807
,,Global,Global,,,,,Incorporated,Gereltuya manual check 20240807
,,Global,Global,,,,,Corp.,Gereltuya manual check 20240807
,,Global,Global,,,,,Berhad,Gereltuya manual check 20240807
,,Global,Global,,,,,Corporation Plc,Gereltuya manual check 20240807
,,Global,Global,,,,,& Company,Gereltuya manual check 20240807
,,Global,Global,,,,,Public Benefit Corporation,Gereltuya manual check 20240807
,,Global,Global,,,,,S.A.B.,Gereltuya manual check 20240807
,,Global,Global,,,,,Holdings,Gereltuya manual check 20240807
,,Global,Global,,,,,Corporations,Gereltuya manual check 20240807
,,Global,Global,,,,,PTY LTD,Gereltuya manual check 20240807
,,Global,Global,,,,,Trust,Gereltuya manual check 20240807
,,Global,Global,,,,,Public Company Limited,Gereltuya manual check 20240807
,,Global,Global,,,,,Corporación,Gereltuya manual check 20240807
,,Global,Global,,,,,Inc.,Gereltuya manual check 20240807
,,Global,Global,,,,,S.A,Gereltuya manual check 20240807
,,Global,Global,,,,,SDN BHD,Gereltuya manual check 20240807
,,Global,Global,,,,,(Pvt.) LTD,Gereltuya manual check 20240807
,,Global,Global,,,,,S.A.C.,Gereltuya manual check 20240807
,,Global,Global,,,,,Private,Gereltuya manual check 20240807
,,Global,Global,,,,,Enterprise,Gereltuya manual check 20240807
,,Global,Global,,,,,Corporate,Gereltuya manual check 20240807
,,Global,Global,,,,,AG,Gereltuya manual check 20240807
,,Global,Global,,,,,Company,Gereltuya manual check 20240807
,,Global,Global,,,,,Banco,Gereltuya manual check 20240807
,,Global,Global,,,,,International,Gereltuya manual check 20240807
,,Global,Global,,,,,SP,Gereltuya manual check 20240730
,,Global,Global,,,,,GP,Gereltuya manual check 20240730
,,Global,Global,,,,,LP,Gereltuya manual check 20240730
,,Global,Global,,,,,LLP,Gereltuya manual check 20240730
,,Global,Global,,,,,Corp,Gereltuya manual check 20240730
,,Global,Global,,,,,Inc,Gereltuya manual check 20240730
,,Global,Global,,,,,LLC,Gereltuya manual check 20240730
,,Global,Global,,,,,Coop,Gereltuya manual check 20240730
,,Global,Global,,,,,Nonprofit,Gereltuya manual check 20240730
,,Global,Global,,,,,Trust,Gereltuya manual check 20240730
,,Global,Global,,,,,JV,Gereltuya manual check 20240730
