ELF code,Country ELF,Country,Country Global,Jurisdiction,Entity legal form local name,Language,Entity legal form transliterated name,Abbreviation,Source
CDOV,Antigua and Barbuda,Antigua and Barbuda,Global,,International Business Corporation,English,International Business Corporation,International Business Corporation,ELF v1.5
5AWN,Argentina,Argentina,Global,,Sociedad del Estado,Spanish,Sociedad del Estado,S.E,ELF v1.5
6M8Y,Argentina,Argentina,Global,,Sociedad Colectiva,Spanish,Sociedad Colectiva,Soc.Col.,ELF v1.5
D3E0,Argentina,Argentina,Global,,Sociedad de Capital e Industria,Spanish,Sociedad de Capital e Industria,S.C.e I.,ELF v1.5
F0A6,Argentina,Argentina,Global,,Sociedad Anonima,Spanish,Sociedad Anonima,S.A.,ELF v1.5
FE8K,Argentina,Argentina,Global,,Sociedad Por Acciones Simplificada,Spanish,Sociedad Por Acciones Simplificada,S.A.S,ELF v1.5
H70T,Argentina,Argentina,Global,,Sociedad en Comandita Simple,Spanish,Sociedad en Comandita Simple,S.C.S.,ELF v1.5
HZ6C,Argentina,Argentina,Global,,Sociedad Cooperativa,Spanish,Sociedad Cooperativa,S. Coop.,ELF v1.5
L4QF,Argentina,Argentina,Global,,Organismo Publico,Spanish,Organismo Publico,Organismo Publico,ELF v1.5
LVJZ,Argentina,Argentina,Global,,Fundacion,Spanish,Fundacion,Fundacion,ELF v1.5
O7AL,Argentina,Argentina,Global,,Sociedad de Garantía Reciproca,Spanish,Sociedad de Garantía Reciproca,SGR,ELF v1.5
PLZ6,Argentina,Argentina,Global,,Sociedad en Comandita por Acciones,Spanish,Sociedad en Comandita por Acciones,S.C.p.A.,ELF v1.5
RDD3,Argentina,Argentina,Global,,Asociacion civil,Spanish,Asociacion civil,Asociacion civil,ELF v1.5
U82F,Argentina,Argentina,Global,,Sociedad De Responsalided Limitada,Spanish,Sociedad De Responsalided Limitada,S.R.L,ELF v1.5
WUAZ,Argentina,Argentina,Global,,Sociedad Anonima Unipersonal,Spanish,Sociedad Anonima Unipersonal,S.A.U.,ELF v1.5
CRL9,Aruba,Netherlands,Global,,Stichting,Dutch,Stichting,Stichting,ELF v1.5
CYW2,Aruba,Netherlands,Global,,Vennootschap onder firma,Dutch,Vennootschap onder firma,VOF,ELF v1.5
CYW2,Aruba,Netherlands,Global,,Vennootschap onder firma,Dutch,Vennootschap onder firma,vof,ELF v1.5
CYW2,Aruba,Netherlands,Global,,Vennootschap onder firma,Dutch,Vennootschap onder firma,V.O.F.,ELF v1.5
CYW2,Aruba,Netherlands,Global,,Vennootschap onder firma,Dutch,Vennootschap onder firma,v.o.f.,ELF v1.5
GAJN,Aruba,Netherlands,Global,,Commanditaire vennootschap (1),Dutch,Commanditaire vennootschap (1),Commanditaire vennootschap (1),ELF v1.5
M27U,Aruba,Netherlands,Global,,Besloten vennootschap,Dutch,Besloten vennootschap,BV,ELF v1.5
M27U,Aruba,Netherlands,Global,,Besloten vennootschap,Dutch,Besloten vennootschap,bv,ELF v1.5
M27U,Aruba,Netherlands,Global,,Besloten vennootschap,Dutch,Besloten vennootschap,B.V.,ELF v1.5
M27U,Aruba,Netherlands,Global,,Besloten vennootschap,Dutch,Besloten vennootschap,b.v.,ELF v1.5
OLAI,Aruba,Netherlands,Global,,Vereniging,Dutch,Vereniging,Vereniging,ELF v1.5
P65N,Aruba,Netherlands,Global,,Naamloze vennootschap,Dutch,Naamloze vennootschap,NV,ELF v1.5
P65N,Aruba,Netherlands,Global,,Naamloze vennootschap,Dutch,Naamloze vennootschap,nv,ELF v1.5
P65N,Aruba,Netherlands,Global,,Naamloze vennootschap,Dutch,Naamloze vennootschap,N.V.,ELF v1.5
