GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
,1.5 Degrees Ltd,15 degrees,http://www.1-5degreessport.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,11/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,1099 coffee,1099 coffee,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Agriculture Crops not elsewhere classified,,06/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,360 DEGREE CLOUD TECHNOLOGIES PVT LTD,360 degree cloud technologies,https://360degreecloud.com/,9845000F94F87A66H368,India,Asia-Pacific Group,,,Company,Software and Services,,18/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,361 Energy CIC,361 energy,http://361energy.org,,United Kingdom,Western European and Others Group (WEOG),,,SME,Repair household goods,,22/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,3arc Social,3arc social,,,Australia,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,11/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,4CLIMATE,4climate,https://www.4climate.in/,,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,23/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,79th Grp Ltd,79th grp,https://the79thgroup.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,23/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,A1 Telekom Austria Group,a1 telekom austria,https://A1.group,529900OTSLB4O3YEOA18,Austria,Western European and Others Group (WEOG),,,Company,Telecommunication Services,,20/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,A3&CO LLC,a3&co,https://www.linkedin.com/company/a%C2%B3co/,,United Arab Emirates,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,30/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,
,Aberley Ltd,aberley,https://www.aberley.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Building services,,12/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Abralion sl,abralion sl,,,Spain,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,11/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Acciaierie Venete S.p.A.,acciaierie venete,https://acciaierievenete.com/it,  ,Italy,Western European and Others Group (WEOG),,,Company,"Mining-iron, aluminium, other metals",,6/7/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Accolade Wines,accolade wines,https://accoladewines.com/,,Australia,Western European and Others Group (WEOG),,,Company,Food and Beverage Processing,,23/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Accurate Roofing Limited,accurate roofing,http://www.accurateroofing.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,18/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Ace Alternatives,ace alternatives,https://www.ace-alternatives.com/,,Germany,Western European and Others Group (WEOG),,,SME,Financial actor not insurance and pension,,25/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Ace Deco,ace deco,http://acedeco.in,,India,Asia-Pacific Group,,,SME,Basic metals manufacturing,,01/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ACETECHNOLOGIES,acetechnologies,http://www.acetech.co.kr/eng/main/,,South Korea,Asia-Pacific Group,,,SME,Other manufacturing,,09/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Achieve Goal 12,achieve goal 12,http://www.achievegoal12.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,24/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ACOME,acome,https://www.acome.com/,,France,Western European and Others Group (WEOG),,,Company,Electrical Equipment and Machinery,,6/7/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Across the Pond,across the pond,http://www.acrossthepond.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,17/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,ACS Dobfar S.p.A.,acs dobfar,https://www.acsdobfar.it/,815600838E207A5D4513,Italy,Western European and Others Group (WEOG),,,Company,"Pharmaceuticals, Biotechnology and Life",,6/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Actavo (Group) Limited,actavo (group),https://actavo.com/,,Ireland,Western European and Others Group (WEOG),,,Company,Construction and Engineering,,16/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
