Name,Name clean,Name clean Global,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA)
Hymans Robertson LLP,hymans robertson,hymans robertson,,https://www.hymans.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,<250M,Financial Institution,Services,£270bn assets under advice,,Own Website,,£270bn assets under advice,,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
Old Mutual Investment Group,old investment,old investment,,https://www.oldmutualinvest.com/institutional,,South Africa,African Group,,,Financial Institution,,,09/02/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
BBGI Global Infrastructure S.A,bbgi global infrastructure,bbgi global infrastructure,GCAP29285,https://www.bb-gi.com/,,Luxembourg,Western European and Others Group (WEOG),,,Financial Institution,,,09/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
UBP Asset Management (Europe),ubp asset management europe,ubp asset management europe,GCAP30970,https://www.ubp.com/en/our-offices/ubp-asset-management-europe-sa,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,09/12/2021,CDP,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Unitec Inc.,unitec,unitec,,http://www.unitecus.com,,United States of America,Western European and Others Group (WEOG),,,SME,Telecommunication,,14/09/2023,,,Other,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Terra Alpha Investments LLC,terra alpha investments,terra alpha investments,GCAP16847,https://terraalphainvestments.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,08/09/2021,CDP,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,
Victory Hill Capital Advisors LLP,victory hill capital advisors,victory hill capital advisors,GCAP33164,https://victory-hill.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,08/06/2022,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,
Kieger AG,kieger,kieger,GCAP30096,https://kieger.com/,,Switzerland,Western European and Others Group (WEOG),,,Financial Institution,,,08/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
V-Square Quantitative Management LLC,v-square quantitative management,v-square quantitative management,GCAP31050,https://www.vsqm.com/,,United States of America,Western European and Others Group (WEOG),,,Financial Institution,,,08/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
ZeroCarbon Industry Operation Center,zerocarbon industry operation center,zerocarbon industry operation center,,https://zcioc.com/,,China,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,31/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Manor Hotel (Stornoway) Limited,manor hotel stornoway,manor hotel stornoway,,https://www.cabarfeidh-hotel.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hotels and similar accommodation,,30/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
nPlan Limited,nplan,nplan,,https://nplan.io,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,30/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Alba Gaskets Limited,alba gaskets,alba gaskets,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Metal products manufacturing,,29/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Aquaterra Energy Ltd,aquaterra energy,aquaterra energy,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Machinery and equipment rental,,17/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Mason Advisory Ltd,mason advisory,mason advisory,,https://www.masonadvisory.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,17/08/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Findlay Park Partners,findlay park partners,findlay partners,GCAP29757,https://www.findlaypark.com/,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,,07/12/2021,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
"Meiji Holdings Co., Ltd.",meiji,meiji,GCAP1758,https://www.meiji.com/global/,,Japan,Asia-Pacific Group,,,Company,No sector specified,,07/07/2021,CDP,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
WeCare4Air,wecare4air,wecare4air,,http://wecare4air.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Electrical machinery and apparaturs manufacturing,,25/07/2023,,,,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Positive Impact Events,positive impact events,positive impact events,,http://www.positiveimpactevents.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,20/07/2023,,,Other,,Nov-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
