Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Climbing Trees,climbing trees,GCAP21991,www.climbingtrees.com/,995650762,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/05/2021,,Other,,Progress published in SME Climate Hub.,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"Business Declares, SME Climate Hub"
Olio,olio,,olioapp.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,19/07/2024,,Own Website,,,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Business Declares
Sustain Quality,sustain quality,,sustainquality.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,30/07/2024,,Did not - joined less than 12 months ago,,,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Business Declares
Forsters LLP Solicitors,forsters solicitors,,www.forsters.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,16/11/2021,,Own Website,,,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Business Declares
Speedy Hire Plc,speedy hire,,https://www.speedyservices.com/,213800U78SIYAZDYXM61,United Kingdom,Western European and Others Group (WEOG),,250M - 500M,Company,"Trading Companies and Distributors, and Commercial Services and Supplies",,28/05/2024,,CDP,Targets set,,Sep-24,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,"Exponential Roadmap Iniative, SBTi"
Akbank,akbank,,https://www.bing.com/ck/a?!&&p=082ea8f97df7d267JmltdHM9MTcyNzc0MDgwMCZpZ3VpZD0xYWUwYjFmZS04NGE5LTZkNWQtMmNkOS1hM2U5ODVhMjZjMTgmaW5zaWQ9NTYwNw&ptn=3&ver=2&hsh=3&fclid=1ae0b1fe-84a9-6d5d-2cd9-a3e985a26c18&psq=akbank&u=a1aHR0cHM6Ly93d3cuYWtiYW5rLmNvbS90ci10ci9zYXlmYWxhci9kZWZhdWx0LmFzcHg&ntb=1,,Turkey,Eastern European Group,,,Financial Institution,,55087000000,29/12/2023,,Own Website,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Bank of Queensland,queensland,,https://www.boq.com.au/,,Australia,Asia-Pacific Group,,,Financial Institution,,71292000000,18/09/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Crédit Mutuel Arkéa,mutuel arkea,,https://www.cm-arkea.com/banque/assurance/credit/mutuel/c_13273/en/home-page?nay=public,,France,Western European and Others Group (WEOG),,,Financial Institution,,194204000000,15/11/2022,,Own Website,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Eurobank Holdings SA,eurobank,,https://www.eurobankholdings.gr/en,,Greece,Western European and Others Group (WEOG),,,Financial Institution,,88774000000,12/03/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Nidaros Sparebank,nidaros,,https://www.nidaros-sparebank.no/,,Norway,Western European and Others Group (WEOG),,,Financial Institution,,410223034,22/01/2024,,Own Website,,,Sep-24,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Net Zero Banking Alliance
Modern College of Business and Science,modern college science,,www.mcbs.edu.om,,Oman,Middle East,,<250M,Higher Education,,,24/03/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Race to Zero for Universities and Colleges
Accountech,accountech,,https://www.accountechsolutions.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,19/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Allye Energy,allye energy,,https://allye.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,25/07/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Brightest,brightest,,https://www.brightest.io,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Coin for Change,coin change,,https://www.coinforchange.xyz/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,18/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Connective Technologies,connective technologies,,http://connectivetechnologies.co.uk,8460651,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,25/07/2024,,Did not - joined less than 12 months ago,,,Sep-24,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,"Tech Zero, SME Climate Hub"
Deep Green Energy,deep green energy,,https://deepgreen.energy/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,15/08/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Future,future,,http://www.future.green,,United States of America,Western European and Others Group (WEOG),,,SME,Other,,31/05/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
Jianfeng Consulting Limited,jianfeng consulting,,https://www.jianfengconsulting.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,19/09/2024,,,,,Sep-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Tech Zero
